Tower__r:Tower_Code__c,Floor__c,Unit_Number__c,Unit_Type_Class__c,Configuration__c,Carpet_Area_sqft__c,BuiltUp_Area_sqft__c,Super_BuiltUp_Area_sqft__c,Facing__c,Corner_Unit__c,Park_Facing__c,BSP_Per_Sqft__c,Unit_Status__c
PRK-T02,4,2,Residential,4BHK,2400,2880,3200,North-East,false,true,48150,Available
PRK-T02,4,3,Residential,3BHK,1800,2160,2400,South-East,false,false,47025,Available
PRK-T02,4,4,Residential,4BHK,2400,2880,3200,North-West,true,false,48375,Available
PRK-T03,1,1,Residential,3BHK,1800,2160,2400,South,true,false,46350,Available
PRK-T03,1,2,Residential,4BHK,2400,2880,3200,North-East,false,false,45000,Available
PRK-T03,1,3,Residential,3BHK,1800,2160,2400,South-East,false,false,45000,Available
PRK-T03,1,4,Residential,4BHK,2400,2880,3200,North-West,true,false,46350,Available
PRK-T03,2,1,Residential,3BHK,1800,2160,2400,North-East,true,true,48150,Available
PRK-T03,2,2,Residential,4BHK,2400,2880,3200,South-East,false,false,45675,Available
PRK-T03,2,3,Residential,3BHK,1800,2160,2400,North-West,false,false,45675,Available
PRK-T03,2,4,Residential,4BHK,2400,2880,3200,South-West,true,false,47025,Available
PRK-T03,3,1,Residential,3BHK,1800,2160,2400,South-East,true,false,47700,Available
PRK-T03,3,2,Residential,4BHK,2400,2880,3200,North-West,false,false,46350,Booked
PRK-T03,3,3,Residential,3BHK,1800,2160,2400,South-West,false,false,46350,Available
PRK-T03,3,4,Residential,4BHK,2400,2880,3200,East,true,true,48825,Available
PRK-T03,4,1,Residential,3BHK,1800,2160,2400,North-West,true,false,48375,Available
PRK-T03,4,2,Residential,4BHK,2400,2880,3200,South-West,false,false,47025,Booked
PRK-T03,4,3,Residential,3BHK,1800,2160,2400,East,false,true,48150,Available
PRK-T03,4,4,Residential,4BHK,2400,2880,3200,West,true,false,48375,Available
SPL-T01,1,1,Residential,2BHK,950,1140,1250,South-East,true,false,12360,Available
SPL-T01,1,2,Residential,3BHK,1350,1620,1800,North-West,false,false,12000,Booked
SPL-T01,1,3,Residential,2BHK,950,1140,1250,South-West,false,false,12000,Available
SPL-T01,1,4,Residential,3BHK,1350,1620,1800,East,true,false,12360,Booked
SPL-T01,2,1,Residential,2BHK,950,1140,1250,North-West,true,false,12540,Available
SPL-T01,2,2,Residential,3BHK,1350,1620,1800,South-West,false,false,12180,Booked
SPL-T01,2,3,Residential,2BHK,950,1140,1250,East,false,true,12480,Available
SPL-T01,2,4,Residential,3BHK,1350,1620,1800,West,true,false,12540,Available
SPL-T01,3,1,Residential,2BHK,950,1140,1250,South-West,true,false,12720,Available
SPL-T01,3,2,Residential,3BHK,1350,1620,1800,East,false,true,12660,Available
SPL-T01,3,3,Residential,2BHK,950,1140,1250,West,false,false,12360,Available
SPL-T01,3,4,Residential,3BHK,1350,1620,1800,North,true,true,13020,Available
SPL-T01,4,1,Residential,2BHK,950,1140,1250,East,true,true,13200,Available
SPL-T01,4,2,Residential,3BHK,1350,1620,1800,West,false,false,12540,Available
SPL-T01,4,3,Residential,2BHK,950,1140,1250,North,false,true,12840,Available
SPL-T01,4,4,Residential,3BHK,1350,1620,1800,South,true,false,12900,Available
SPL-T02,1,1,Residential,2BHK,950,1140,1250,East,true,false,12360,Available
SPL-T02,1,2,Residential,3BHK,1350,1620,1800,West,false,false,12000,Available
SPL-T02,1,3,Residential,2BHK,950,1140,1250,North,false,false,12000,Available
SPL-T02,1,4,Residential,3BHK,1350,1620,1800,South,true,false,12360,Available
SPL-T02,2,1,Residential,2BHK,950,1140,1250,West,true,false,12540,Available
SPL-T02,2,2,Residential,3BHK,1350,1620,1800,North,false,true,12480,Available
SPL-T02,2,3,Residential,2BHK,950,1140,1250,South,false,false,12180,Available
SPL-T02,2,4,Residential,3BHK,1350,1620,1800,North-East,true,true,12840,Available
SPL-T02,3,1,Residential,2BHK,950,1140,1250,North,true,true,13020,Booked
SPL-T02,3,2,Residential,3BHK,1350,1620,1800,South,false,false,12360,Available
SPL-T02,3,3,Residential,2BHK,950,1140,1250,North-East,false,true,12660,Booked
SPL-T02,3,4,Residential,3BHK,1350,1620,1800,South-East,true,false,12720,Available
SPL-T02,4,1,Residential,2BHK,950,1140,1250,South,true,false,12900,Available
SPL-T02,4,2,Residential,3BHK,1350,1620,1800,North-East,false,true,12840,Available
SPL-T02,4,3,Residential,2BHK,950,1140,1250,South-East,false,false,12540,Available
SPL-T02,4,4,Residential,3BHK,1350,1620,1800,North-West,true,false,12900,Available
SPL-T03,1,1,Residential,2BHK,950,1140,1250,South,true,false,12360,Booked
SPL-T03,1,2,Residential,3BHK,1350,1620,1800,North-East,false,false,12000,Available
SPL-T03,1,3,Residential,2BHK,950,1140,1250,South-East,false,false,12000,Available
SPL-T03,1,4,Residential,3BHK,1350,1620,1800,North-West,true,false,12360,Available
SPL-T03,2,1,Residential,2BHK,950,1140,1250,North-East,true,true,12840,Available
SPL-T03,2,2,Residential,3BHK,1350,1620,1800,South-East,false,false,12180,Available
SPL-T03,2,3,Residential,2BHK,950,1140,1250,North-West,false,false,12180,Available
SPL-T03,2,4,Residential,3BHK,1350,1620,1800,South-West,true,false,12540,Available
SPL-T03,3,1,Residential,2BHK,950,1140,1250,South-East,true,false,12720,Available
SPL-T03,3,2,Residential,3BHK,1350,1620,1800,North-West,false,false,12360,Available
SPL-T03,3,3,Residential,2BHK,950,1140,1250,South-West,false,false,12360,Available
SPL-T03,3,4,Residential,3BHK,1350,1620,1800,East,true,true,13020,Booked
SPL-T03,4,1,Residential,2BHK,950,1140,1250,North-West,true,false,12900,Available
SPL-T03,4,2,Residential,3BHK,1350,1620,1800,South-West,false,false,12540,Available
SPL-T03,4,3,Residential,2BHK,950,1140,1250,East,false,true,12840,Blocked
SPL-T03,4,4,Residential,3BHK,1350,1620,1800,West,true,false,12900,Available
BEL-T01,1,1,Residential,4BHK,2800,3360,3800,South-East,true,false,66950,Available
BEL-T01,1,2,Residential,4BHK,2800,3360,3800,North-West,false,false,65000,Available
BEL-T01,1,3,Residential,4BHK,2800,3360,3800,South-West,false,false,65000,Available
BEL-T01,1,4,Residential,4BHK,2800,3360,3800,East,true,false,66950,Available
BEL-T01,2,1,Residential,4BHK,2800,3360,3800,North-West,true,false,67925,Available
BEL-T01,2,2,Residential,4BHK,2800,3360,3800,South-West,false,false,65975,Booked
BEL-T01,2,3,Residential,4BHK,2800,3360,3800,East,false,true,67600,Booked
BEL-T01,2,4,Residential,4BHK,2800,3360,3800,West,true,false,67925,Available
BEL-T01,3,1,Residential,4BHK,2800,3360,3800,South-West,true,false,68900,Booked
BEL-T01,3,2,Residential,4BHK,2800,3360,3800,East,false,true,68575,Available
BEL-T01,3,3,Residential,4BHK,2800,3360,3800,West,false,false,66950,Booked
BEL-T01,3,4,Residential,4BHK,2800,3360,3800,North,true,true,70525,Available
BEL-T01,4,1,Residential,4BHK,2800,3360,3800,East,true,true,71500,Available
BEL-T01,4,2,Residential,4BHK,2800,3360,3800,West,false,false,67925,Available
BEL-T01,4,3,Residential,4BHK,2800,3360,3800,North,false,true,69550,Available
BEL-T01,4,4,Residential,4BHK,2800,3360,3800,South,true,false,69875,Blocked
BEL-T02,1,1,Residential,4BHK,2800,3360,3800,East,true,false,66950,Blocked
BEL-T02,1,2,Residential,4BHK,2800,3360,3800,West,false,false,65000,Available
BEL-T02,1,3,Residential,4BHK,2800,3360,3800,North,false,false,65000,Available
BEL-T02,1,4,Residential,4BHK,2800,3360,3800,South,true,false,66950,Available
BEL-T02,2,1,Residential,4BHK,2800,3360,3800,West,true,false,67925,Available
BEL-T02,2,2,Residential,4BHK,2800,3360,3800,North,false,true,67600,Available
BEL-T02,2,3,Residential,4BHK,2800,3360,3800,South,false,false,65975,Available
BEL-T02,2,4,Residential,4BHK,2800,3360,3800,North-East,true,true,69550,Booked
BEL-T02,3,1,Residential,4BHK,2800,3360,3800,North,true,true,70525,Available
BEL-T02,3,2,Residential,4BHK,2800,3360,3800,South,false,false,66950,Available
BEL-T02,3,3,Residential,4BHK,2800,3360,3800,North-East,false,true,68575,Available
BEL-T02,3,4,Residential,4BHK,2800,3360,3800,South-East,true,false,68900,Booked
BEL-T02,4,1,Residential,4BHK,2800,3360,3800,South,true,false,69875,Available
BEL-T02,4,2,Residential,4BHK,2800,3360,3800,North-East,false,true,69550,Booked
BEL-T02,4,3,Residential,4BHK,2800,3360,3800,South-East,false,false,67925,Available
BEL-T02,4,4,Residential,4BHK,2800,3360,3800,North-West,true,false,69875,Booked
BEL-T03,1,1,Residential,4BHK,2800,3360,3800,South,true,false,66950,Available
BEL-T03,1,2,Residential,4BHK,2800,3360,3800,North-East,false,false,65000,Available
BEL-T03,1,3,Residential,4BHK,2800,3360,3800,South-East,false,false,65000,Booked
BEL-T03,1,4,Residential,4BHK,2800,3360,3800,North-West,true,false,66950,Available
BEL-T03,2,1,Residential,4BHK,2800,3360,3800,North-East,true,true,69550,Available
BEL-T03,2,2,Residential,4BHK,2800,3360,3800,South-East,false,false,65975,Available
BEL-T03,2,3,Residential,4BHK,2800,3360,3800,North-West,false,false,65975,Available
BEL-T03,2,4,Residential,4BHK,2800,3360,3800,South-West,true,false,67925,Available
BEL-T03,3,1,Residential,4BHK,2800,3360,3800,South-East,true,false,68900,Available
BEL-T03,3,2,Residential,4BHK,2800,3360,3800,North-West,false,false,66950,Available
BEL-T03,3,3,Residential,4BHK,2800,3360,3800,South-West,false,false,66950,Available
BEL-T03,3,4,Residential,4BHK,2800,3360,3800,East,true,true,70525,Available
BEL-T03,4,1,Residential,4BHK,2800,3360,3800,North-West,true,false,69875,Blocked
BEL-T03,4,2,Residential,4BHK,2800,3360,3800,South-West,false,false,67925,Available
BEL-T03,4,3,Residential,4BHK,2800,3360,3800,East,false,true,69550,Blocked
BEL-T03,4,4,Residential,4BHK,2800,3360,3800,West,true,false,69875,Available
GRN-T01,1,1,Residential,2BHK,900,1080,1200,South-East,true,false,8755,Available
GRN-T01,1,2,Residential,3BHK,1250,1500,1650,North-West,false,false,8500,Blocked
GRN-T01,1,3,Residential,2BHK,900,1080,1200,South-West,false,false,8500,Booked
GRN-T01,1,4,Residential,3BHK,1250,1500,1650,East,true,false,8755,Available
GRN-T01,2,1,Residential,2BHK,900,1080,1200,North-West,true,false,8882,Available
GRN-T01,2,2,Residential,3BHK,1250,1500,1650,South-West,false,false,8627,Available
GRN-T01,2,3,Residential,2BHK,900,1080,1200,East,false,true,8840,Available
GRN-T01,2,4,Residential,3BHK,1250,1500,1650,West,true,false,8882,Booked
GRN-T01,3,1,Residential,2BHK,900,1080,1200,South-West,true,false,9010,Booked
GRN-T01,3,2,Residential,3BHK,1250,1500,1650,East,false,true,8968,Available
GRN-T01,3,3,Residential,2BHK,900,1080,1200,West,false,false,8755,Booked
GRN-T01,3,4,Residential,3BHK,1250,1500,1650,North,true,true,9222,Available
GRN-T01,4,1,Residential,2BHK,900,1080,1200,East,true,true,9350,Blocked
GRN-T01,4,2,Residential,3BHK,1250,1500,1650,West,false,false,8882,Available
GRN-T01,4,3,Residential,2BHK,900,1080,1200,North,false,true,9095,Available
GRN-T01,4,4,Residential,3BHK,1250,1500,1650,South,true,false,9138,Available
GRN-T02,1,1,Residential,2BHK,900,1080,1200,East,true,false,8755,Available
GRN-T02,1,2,Residential,3BHK,1250,1500,1650,West,false,false,8500,Available
GRN-T02,1,3,Residential,2BHK,900,1080,1200,North,false,false,8500,Available
GRN-T02,1,4,Residential,3BHK,1250,1500,1650,South,true,false,8755,Available
GRN-T02,2,1,Residential,2BHK,900,1080,1200,West,true,false,8882,Booked
GRN-T02,2,2,Residential,3BHK,1250,1500,1650,North,false,true,8840,Available
GRN-T02,2,3,Residential,2BHK,900,1080,1200,South,false,false,8627,Available
GRN-T02,2,4,Residential,3BHK,1250,1500,1650,North-East,true,true,9095,Blocked
GRN-T02,3,1,Residential,2BHK,900,1080,1200,North,true,true,9222,Available
GRN-T02,3,2,Residential,3BHK,1250,1500,1650,South,false,false,8755,Booked
GRN-T02,3,3,Residential,2BHK,900,1080,1200,North-East,false,true,8968,Available
GRN-T02,3,4,Residential,3BHK,1250,1500,1650,South-East,true,false,9010,Available
GRN-T02,4,1,Residential,2BHK,900,1080,1200,South,true,false,9138,Blocked
GRN-T02,4,2,Residential,3BHK,1250,1500,1650,North-East,false,true,9095,Booked
GRN-T02,4,3,Residential,2BHK,900,1080,1200,South-East,false,false,8882,Available
GRN-T02,4,4,Residential,3BHK,1250,1500,1650,North-West,true,false,9138,Available
GRN-T03,1,1,Residential,2BHK,900,1080,1200,South,true,false,8755,Booked
GRN-T03,1,2,Residential,3BHK,1250,1500,1650,North-East,false,false,8500,Booked
GRN-T03,1,3,Residential,2BHK,900,1080,1200,South-East,false,false,8500,Available
GRN-T03,1,4,Residential,3BHK,1250,1500,1650,North-West,true,false,8755,Available
GRN-T03,2,1,Residential,2BHK,900,1080,1200,North-East,true,true,9095,Booked
GRN-T03,2,2,Residential,3BHK,1250,1500,1650,South-East,false,false,8627,Available
GRN-T03,2,3,Residential,2BHK,900,1080,1200,North-West,false,false,8627,Available
GRN-T03,2,4,Residential,3BHK,1250,1500,1650,South-West,true,false,8882,Available
GRN-T03,3,1,Residential,2BHK,900,1080,1200,South-East,true,false,9010,Available
GRN-T03,3,2,Residential,3BHK,1250,1500,1650,North-West,false,false,8755,Available
GRN-T03,3,3,Residential,2BHK,900,1080,1200,South-West,false,false,8755,Booked
GRN-T03,3,4,Residential,3BHK,1250,1500,1650,East,true,true,9222,Available
GRN-T03,4,1,Residential,2BHK,900,1080,1200,North-West,true,false,9138,Available
GRN-T03,4,2,Residential,3BHK,1250,1500,1650,South-West,false,false,8882,Available
GRN-T03,4,3,Residential,2BHK,900,1080,1200,East,false,true,9095,Available
GRN-T03,4,4,Residential,3BHK,1250,1500,1650,West,true,false,9138,Available
HRZ-T01,1,1,Residential,3BHK,1400,1680,1900,South-East,true,false,14420,Available
HRZ-T01,1,2,Residential,3BHK,1400,1680,1900,North-West,false,false,14000,Available
HRZ-T01,1,3,Residential,3BHK,1400,1680,1900,South-West,false,false,14000,Booked
HRZ-T01,1,4,Residential,3BHK,1400,1680,1900,East,true,false,14420,Booked
HRZ-T01,2,1,Residential,3BHK,1400,1680,1900,North-West,true,false,14630,Available
HRZ-T01,2,2,Residential,3BHK,1400,1680,1900,South-West,false,false,14210,Booked
HRZ-T01,2,3,Residential,3BHK,1400,1680,1900,East,false,true,14560,Available
HRZ-T01,2,4,Residential,3BHK,1400,1680,1900,West,true,false,14630,Available
HRZ-T01,3,1,Residential,3BHK,1400,1680,1900,South-West,true,false,14840,Available
HRZ-T01,3,2,Residential,3BHK,1400,1680,1900,East,false,true,14770,Available
HRZ-T01,3,3,Residential,3BHK,1400,1680,1900,West,false,false,14420,Available
HRZ-T01,3,4,Residential,3BHK,1400,1680,1900,North,true,true,15190,Available
HRZ-T01,4,1,Residential,3BHK,1400,1680,1900,East,true,true,15400,Available
HRZ-T01,4,2,Residential,3BHK,1400,1680,1900,West,false,false,14630,Available
HRZ-T01,4,3,Residential,3BHK,1400,1680,1900,North,false,true,14980,Available
HRZ-T01,4,4,Residential,3BHK,1400,1680,1900,South,true,false,15050,Blocked
HRZ-T02,1,1,Residential,3BHK,1400,1680,1900,East,true,false,14420,Available
HRZ-T02,1,2,Residential,3BHK,1400,1680,1900,West,false,false,14000,Available
HRZ-T02,1,3,Residential,3BHK,1400,1680,1900,North,false,false,14000,Blocked
HRZ-T02,1,4,Residential,3BHK,1400,1680,1900,South,true,false,14420,Available
HRZ-T02,2,1,Residential,3BHK,1400,1680,1900,West,true,false,14630,Booked
HRZ-T02,2,2,Residential,3BHK,1400,1680,1900,North,false,true,14560,Available
HRZ-T02,2,3,Residential,3BHK,1400,1680,1900,South,false,false,14210,Booked
HRZ-T02,2,4,Residential,3BHK,1400,1680,1900,North-East,true,true,14980,Booked
HRZ-T02,3,1,Residential,3BHK,1400,1680,1900,North,true,true,15190,Blocked
HRZ-T02,3,2,Residential,3BHK,1400,1680,1900,South,false,false,14420,Available
HRZ-T02,3,3,Residential,3BHK,1400,1680,1900,North-East,false,true,14770,Blocked
HRZ-T02,3,4,Residential,3BHK,1400,1680,1900,South-East,true,false,14840,Available
HRZ-T02,4,1,Residential,3BHK,1400,1680,1900,South,true,false,15050,Available
HRZ-T02,4,2,Residential,3BHK,1400,1680,1900,North-East,false,true,14980,Available
HRZ-T02,4,3,Residential,3BHK,1400,1680,1900,South-East,false,false,14630,Available
HRZ-T02,4,4,Residential,3BHK,1400,1680,1900,North-West,true,false,15050,Available
HRZ-T03,1,1,Residential,3BHK,1400,1680,1900,South,true,false,14420,Available
HRZ-T03,1,2,Residential,3BHK,1400,1680,1900,North-East,false,false,14000,Available
HRZ-T03,1,3,Residential,3BHK,1400,1680,1900,South-East,false,false,14000,Available
HRZ-T03,1,4,Residential,3BHK,1400,1680,1900,North-West,true,false,14420,Available
HRZ-T03,2,1,Residential,3BHK,1400,1680,1900,North-East,true,true,14980,Available
HRZ-T03,2,2,Residential,3BHK,1400,1680,1900,South-East,false,false,14210,Available
HRZ-T03,2,3,Residential,3BHK,1400,1680,1900,North-West,false,false,14210,Available
HRZ-T03,2,4,Residential,3BHK,1400,1680,1900,South-West,true,false,14630,Available
HRZ-T03,3,1,Residential,3BHK,1400,1680,1900,South-East,true,false,14840,Available
HRZ-T03,3,2,Residential,3BHK,1400,1680,1900,North-West,false,false,14420,Available
HRZ-T03,3,3,Residential,3BHK,1400,1680,1900,South-West,false,false,14420,Available
HRZ-T03,3,4,Residential,3BHK,1400,1680,1900,East,true,true,15190,Available
HRZ-T03,4,1,Residential,3BHK,1400,1680,1900,North-West,true,false,15050,Available
HRZ-T03,4,2,Residential,3BHK,1400,1680,1900,South-West,false,false,14630,Booked
HRZ-T03,4,3,Residential,3BHK,1400,1680,1900,East,false,true,14980,Available
HRZ-T03,4,4,Residential,3BHK,1400,1680,1900,West,true,false,15050,Available
ELY-T01,1,1,Residential,4BHK,2500,3000,3500,South-East,true,false,22660,Available
ELY-T01,1,2,Residential,4BHK,2500,3000,3500,North-West,false,false,22000,Available
ELY-T01,1,3,Residential,4BHK,2500,3000,3500,South-West,false,false,22000,Available
ELY-T01,1,4,Residential,4BHK,2500,3000,3500,East,true,false,22660,Available
ELY-T01,2,1,Residential,4BHK,2500,3000,3500,North-West,true,false,22990,Available
ELY-T01,2,2,Residential,4BHK,2500,3000,3500,South-West,false,false,22330,Available
ELY-T01,2,3,Residential,4BHK,2500,3000,3500,East,false,true,22880,Available
ELY-T01,2,4,Residential,4BHK,2500,3000,3500,West,true,false,22990,Booked
ELY-T01,3,1,Residential,4BHK,2500,3000,3500,South-West,true,false,23320,Available
ELY-T01,3,2,Residential,4BHK,2500,3000,3500,East,false,true,23210,Available
ELY-T01,3,3,Residential,4BHK,2500,3000,3500,West,false,false,22660,Booked
ELY-T01,3,4,Residential,4BHK,2500,3000,3500,North,true,true,23870,Available
ELY-T01,4,1,Residential,4BHK,2500,3000,3500,East,true,true,24200,Available
ELY-T01,4,2,Residential,4BHK,2500,3000,3500,West,false,false,22990,Available
ELY-T01,4,3,Residential,4BHK,2500,3000,3500,North,false,true,23540,Available
ELY-T01,4,4,Residential,4BHK,2500,3000,3500,South,true,false,23650,Available
ELY-T02,1,1,Residential,4BHK,2500,3000,3500,East,true,false,22660,Blocked
ELY-T02,1,2,Residential,4BHK,2500,3000,3500,West,false,false,22000,Blocked
ELY-T02,1,3,Residential,4BHK,2500,3000,3500,North,false,false,22000,Available
ELY-T02,1,4,Residential,4BHK,2500,3000,3500,South,true,false,22660,Available
ELY-T02,2,1,Residential,4BHK,2500,3000,3500,West,true,false,22990,Available
ELY-T02,2,2,Residential,4BHK,2500,3000,3500,North,false,true,22880,Available
ELY-T02,2,3,Residential,4BHK,2500,3000,3500,South,false,false,22330,Available
ELY-T02,2,4,Residential,4BHK,2500,3000,3500,North-East,true,true,23540,Available
ELY-T02,3,1,Residential,4BHK,2500,3000,3500,North,true,true,23870,Available
ELY-T02,3,2,Residential,4BHK,2500,3000,3500,South,false,false,22660,Available
ELY-T02,3,3,Residential,4BHK,2500,3000,3500,North-East,false,true,23210,Available
ELY-T02,3,4,Residential,4BHK,2500,3000,3500,South-East,true,false,23320,Available
ELY-T02,4,1,Residential,4BHK,2500,3000,3500,South,true,false,23650,Available
ELY-T02,4,2,Residential,4BHK,2500,3000,3500,North-East,false,true,23540,Booked
ELY-T02,4,3,Residential,4BHK,2500,3000,3500,South-East,false,false,22990,Blocked
ELY-T02,4,4,Residential,4BHK,2500,3000,3500,North-West,true,false,23650,Available
ELY-T03,1,1,Residential,4BHK,2500,3000,3500,South,true,false,22660,Available
ELY-T03,1,2,Residential,4BHK,2500,3000,3500,North-East,false,false,22000,Available
ELY-T03,1,3,Residential,4BHK,2500,3000,3500,South-East,false,false,22000,Available
ELY-T03,1,4,Residential,4BHK,2500,3000,3500,North-West,true,false,22660,Available
ELY-T03,2,1,Residential,4BHK,2500,3000,3500,North-East,true,true,23540,Booked
ELY-T03,2,2,Residential,4BHK,2500,3000,3500,South-East,false,false,22330,Booked
ELY-T03,2,3,Residential,4BHK,2500,3000,3500,North-West,false,false,22330,Available
ELY-T03,2,4,Residential,4BHK,2500,3000,3500,South-West,true,false,22990,Available
ELY-T03,3,1,Residential,4BHK,2500,3000,3500,South-East,true,false,23320,Available
ELY-T03,3,2,Residential,4BHK,2500,3000,3500,North-West,false,false,22660,Available
ELY-T03,3,3,Residential,4BHK,2500,3000,3500,South-West,false,false,22660,Booked
ELY-T03,3,4,Residential,4BHK,2500,3000,3500,East,true,true,23870,Blocked
ELY-T03,4,1,Residential,4BHK,2500,3000,3500,North-West,true,false,23650,Blocked
ELY-T03,4,2,Residential,4BHK,2500,3000,3500,South-West,false,false,22990,Booked
ELY-T03,4,3,Residential,4BHK,2500,3000,3500,East,false,true,23540,Available
ELY-T03,4,4,Residential,4BHK,2500,3000,3500,West,true,false,23650,Available
AUR-T01,1,1,Residential,3BHK,1500,1800,2000,South-East,true,false,15450,Blocked
AUR-T01,1,2,Residential,3BHK,1500,1800,2000,North-West,false,false,15000,Available
AUR-T01,1,3,Residential,3BHK,1500,1800,2000,South-West,false,false,15000,Available
AUR-T01,1,4,Residential,3BHK,1500,1800,2000,East,true,false,15450,Available
AUR-T01,2,1,Residential,3BHK,1500,1800,2000,North-West,true,false,15675,Booked
AUR-T01,2,2,Residential,3BHK,1500,1800,2000,South-West,false,false,15225,Available
AUR-T01,2,3,Residential,3BHK,1500,1800,2000,East,false,true,15600,Available
AUR-T01,2,4,Residential,3BHK,1500,1800,2000,West,true,false,15675,Available
AUR-T01,3,1,Residential,3BHK,1500,1800,2000,South-West,true,false,15900,Available
AUR-T01,3,2,Residential,3BHK,1500,1800,2000,East,false,true,15825,Booked
AUR-T01,3,3,Residential,3BHK,1500,1800,2000,West,false,false,15450,Available
AUR-T01,3,4,Residential,3BHK,1500,1800,2000,North,true,true,16275,Booked
AUR-T01,4,1,Residential,3BHK,1500,1800,2000,East,true,true,16500,Booked
AUR-T01,4,2,Residential,3BHK,1500,1800,2000,West,false,false,15675,Available
AUR-T01,4,3,Residential,3BHK,1500,1800,2000,North,false,true,16050,Booked
AUR-T01,4,4,Residential,3BHK,1500,1800,2000,South,true,false,16125,Available
AUR-T02,1,1,Residential,3BHK,1500,1800,2000,East,true,false,15450,Available
AUR-T02,1,2,Residential,3BHK,1500,1800,2000,West,false,false,15000,Booked
AUR-T02,1,3,Residential,3BHK,1500,1800,2000,North,false,false,15000,Booked
AUR-T02,1,4,Residential,3BHK,1500,1800,2000,South,true,false,15450,Booked
AUR-T02,2,1,Residential,3BHK,1500,1800,2000,West,true,false,15675,Available
AUR-T02,2,2,Residential,3BHK,1500,1800,2000,North,false,true,15600,Available
AUR-T02,2,3,Residential,3BHK,1500,1800,2000,South,false,false,15225,Available
AUR-T02,2,4,Residential,3BHK,1500,1800,2000,North-East,true,true,16050,Available
AUR-T02,3,1,Residential,3BHK,1500,1800,2000,North,true,true,16275,Available
AUR-T02,3,2,Residential,3BHK,1500,1800,2000,South,false,false,15450,Available
AUR-T02,3,3,Residential,3BHK,1500,1800,2000,North-East,false,true,15825,Available
AUR-T02,3,4,Residential,3BHK,1500,1800,2000,South-East,true,false,15900,Available
AUR-T02,4,1,Residential,3BHK,1500,1800,2000,South,true,false,16125,Available
AUR-T02,4,2,Residential,3BHK,1500,1800,2000,North-East,false,true,16050,Available
AUR-T02,4,3,Residential,3BHK,1500,1800,2000,South-East,false,false,15675,Available
AUR-T02,4,4,Residential,3BHK,1500,1800,2000,North-West,true,false,16125,Available
AUR-T03,1,1,Residential,3BHK,1500,1800,2000,South,true,false,15450,Available
AUR-T03,1,2,Residential,3BHK,1500,1800,2000,North-East,false,false,15000,Available
AUR-T03,1,3,Residential,3BHK,1500,1800,2000,South-East,false,false,15000,Booked
AUR-T03,1,4,Residential,3BHK,1500,1800,2000,North-West,true,false,15450,Booked
