Tower__r:Tower_Code__c,Floor__c,Unit_Number__c,Unit_Type_Class__c,Configuration__c,Shop_Type__c,Carpet_Area_sqft__c,Super_BuiltUp_Area_sqft__c,Frontage_ft__c,BSP_Per_Sqft__c,Unit_Status__c
GAL-B01,3,6,Shop,Retail,Retail,400,520,15,26250,Available
GAL-B01,3,7,Shop,Retail,Retail,400,520,15,26250,Available
GAL-B01,3,8,Shop,Retail,Retail,400,520,15,26250,Available
GAL-B01,3,9,Shop,F&B,F&B,800,1040,25,26250,Available
GAL-B01,3,10,Shop,Anchor,Anchor,3000,3900,60,26250,Available
GAL-B01,3,11,Shop,Retail,Retail,400,520,15,26250,Available
GAL-B01,3,12,Shop,Retail,Retail,400,520,15,26250,Available
GAL-B01,3,13,Shop,Retail,Retail,400,520,15,26250,Booked
GAL-B01,3,14,Shop,F&B,F&B,800,1040,25,26250,Available
GAL-B01,3,15,Shop,Anchor,Anchor,2500,3250,60,26250,Available
GAL-B01,3,16,Shop,Retail,Retail,400,520,15,26250,Booked
GAL-B01,3,17,Shop,Retail,Retail,400,520,15,26250,Available
GAL-B01,3,18,Shop,Retail,Retail,400,520,15,26250,Available
GAL-B01,3,19,Shop,F&B,F&B,800,1040,25,26250,Available
GAL-B01,3,20,Shop,Anchor,Anchor,3500,4550,60,26250,Available
GAL-B02,1,1,Shop,Retail,Retail,400,520,15,35000,Available
GAL-B02,1,2,Shop,Retail,Retail,400,520,15,35000,Booked
GAL-B02,1,3,Shop,Retail,Retail,400,520,15,35000,Booked
GAL-B02,1,4,Shop,F&B,F&B,800,1040,25,35000,Booked
GAL-B02,1,5,Shop,Anchor,Anchor,3500,4550,60,35000,Available
GAL-B02,1,6,Shop,Retail,Retail,400,520,15,35000,Available
GAL-B02,1,7,Shop,Retail,Retail,400,520,15,35000,Booked
GAL-B02,1,8,Shop,Retail,Retail,400,520,15,35000,Blocked
GAL-B02,1,9,Shop,F&B,F&B,800,1040,25,35000,Available
GAL-B02,1,10,Shop,Anchor,Anchor,3000,3900,60,35000,Booked
GAL-B02,1,11,Shop,Retail,Retail,400,520,15,35000,Available
GAL-B02,1,12,Shop,Retail,Retail,400,520,15,35000,Available
GAL-B02,1,13,Shop,Retail,Retail,400,520,15,35000,Blocked
GAL-B02,1,14,Shop,F&B,F&B,800,1040,25,35000,Available
GAL-B02,1,15,Shop,Anchor,Anchor,2500,3250,60,35000,Available
GAL-B02,1,16,Shop,Retail,Retail,400,520,15,35000,Available
GAL-B02,1,17,Shop,Retail,Retail,400,520,15,35000,Available
GAL-B02,1,18,Shop,Retail,Retail,400,520,15,35000,Booked
GAL-B02,1,19,Shop,F&B,F&B,800,1040,25,35000,Blocked
GAL-B02,1,20,Shop,Anchor,Anchor,3500,4550,60,35000,Available
GAL-B02,2,1,Shop,Retail,Retail,400,520,15,29750,Available
GAL-B02,2,2,Shop,Retail,Retail,400,520,15,29750,Available
GAL-B02,2,3,Shop,Retail,Retail,400,520,15,29750,Available
GAL-B02,2,4,Shop,F&B,F&B,800,1040,25,29750,Available
GAL-B02,2,5,Shop,Anchor,Anchor,3500,4550,60,29750,Available
GAL-B02,2,6,Shop,Retail,Retail,400,520,15,29750,Available
GAL-B02,2,7,Shop,Retail,Retail,400,520,15,29750,Available
GAL-B02,2,8,Shop,Retail,Retail,400,520,15,29750,Available
GAL-B02,2,9,Shop,F&B,F&B,800,1040,25,29750,Booked
GAL-B02,2,10,Shop,Anchor,Anchor,3000,3900,60,29750,Available
GAL-B02,2,11,Shop,Retail,Retail,400,520,15,29750,Available
GAL-B02,2,12,Shop,Retail,Retail,400,520,15,29750,Available
GAL-B02,2,13,Shop,Retail,Retail,400,520,15,29750,Available
GAL-B02,2,14,Shop,F&B,F&B,800,1040,25,29750,Available
GAL-B02,2,15,Shop,Anchor,Anchor,2500,3250,60,29750,Available
GAL-B02,2,16,Shop,Retail,Retail,400,520,15,29750,Available
GAL-B02,2,17,Shop,Retail,Retail,400,520,15,29750,Available
GAL-B02,2,18,Shop,Retail,Retail,400,520,15,29750,Available
GAL-B02,2,19,Shop,F&B,F&B,800,1040,25,29750,Available
GAL-B02,2,20,Shop,Anchor,Anchor,3500,4550,60,29750,Available
GAL-B02,3,1,Shop,Retail,Retail,400,520,15,26250,Booked
GAL-B02,3,2,Shop,Retail,Retail,400,520,15,26250,Available
GAL-B02,3,3,Shop,Retail,Retail,400,520,15,26250,Available
GAL-B02,3,4,Shop,F&B,F&B,800,1040,25,26250,Available
GAL-B02,3,5,Shop,Anchor,Anchor,3500,4550,60,26250,Available
GAL-B02,3,6,Shop,Retail,Retail,400,520,15,26250,Available
GAL-B02,3,7,Shop,Retail,Retail,400,520,15,26250,Available
GAL-B02,3,8,Shop,Retail,Retail,400,520,15,26250,Booked
GAL-B02,3,9,Shop,F&B,F&B,800,1040,25,26250,Available
GAL-B02,3,10,Shop,Anchor,Anchor,3000,3900,60,26250,Booked
GAL-B02,3,11,Shop,Retail,Retail,400,520,15,26250,Available
GAL-B02,3,12,Shop,Retail,Retail,400,520,15,26250,Blocked
GAL-B02,3,13,Shop,Retail,Retail,400,520,15,26250,Available
GAL-B02,3,14,Shop,F&B,F&B,800,1040,25,26250,Available
GAL-B02,3,15,Shop,Anchor,Anchor,2500,3250,60,26250,Available
GAL-B02,3,16,Shop,Retail,Retail,400,520,15,26250,Available
GAL-B02,3,17,Shop,Retail,Retail,400,520,15,26250,Available
GAL-B02,3,18,Shop,Retail,Retail,400,520,15,26250,Booked
GAL-B02,3,19,Shop,F&B,F&B,800,1040,25,26250,Booked
GAL-B02,3,20,Shop,Anchor,Anchor,3500,4550,60,26250,Booked
NXS-B01,1,1,Shop,Retail,Retail,400,520,15,28000,Available
NXS-B01,1,2,Shop,Retail,Retail,400,520,15,28000,Blocked
NXS-B01,1,3,Shop,Retail,Retail,400,520,15,28000,Available
NXS-B01,1,4,Shop,F&B,F&B,800,1040,25,28000,Available
NXS-B01,1,5,Shop,Anchor,Anchor,3500,4550,60,28000,Available
NXS-B01,1,6,Shop,Retail,Retail,400,520,15,28000,Blocked
NXS-B01,1,7,Shop,Retail,Retail,400,520,15,28000,Available
NXS-B01,1,8,Shop,Retail,Retail,400,520,15,28000,Available
NXS-B01,1,9,Shop,F&B,F&B,800,1040,25,28000,Available
NXS-B01,1,10,Shop,Anchor,Anchor,3000,3900,60,28000,Available
NXS-B01,1,11,Shop,Retail,Retail,400,520,15,28000,Available
NXS-B01,1,12,Shop,Retail,Retail,400,520,15,28000,Available
NXS-B01,1,13,Shop,Retail,Retail,400,520,15,28000,Available
NXS-B01,1,14,Shop,F&B,F&B,800,1040,25,28000,Booked
NXS-B01,1,15,Shop,Anchor,Anchor,2500,3250,60,28000,Booked
NXS-B01,1,16,Shop,Retail,Retail,400,520,15,28000,Available
NXS-B01,1,17,Shop,Retail,Retail,400,520,15,28000,Available
NXS-B01,1,18,Shop,Retail,Retail,400,520,15,28000,Booked
NXS-B01,1,19,Shop,F&B,F&B,800,1040,25,28000,Booked
NXS-B01,1,20,Shop,Anchor,Anchor,3500,4550,60,28000,Available
NXS-B01,2,1,Shop,Retail,Retail,400,520,15,23800,Available
NXS-B01,2,2,Shop,Retail,Retail,400,520,15,23800,Available
NXS-B01,2,3,Shop,Retail,Retail,400,520,15,23800,Available
NXS-B01,2,4,Shop,F&B,F&B,800,1040,25,23800,Available
NXS-B01,2,5,Shop,Anchor,Anchor,3500,4550,60,23800,Available
NXS-B01,2,6,Shop,Retail,Retail,400,520,15,23800,Available
NXS-B01,2,7,Shop,Retail,Retail,400,520,15,23800,Available
NXS-B01,2,8,Shop,Retail,Retail,400,520,15,23800,Available
NXS-B01,2,9,Shop,F&B,F&B,800,1040,25,23800,Available
NXS-B01,2,10,Shop,Anchor,Anchor,3000,3900,60,23800,Available
NXS-B01,2,11,Shop,Retail,Retail,400,520,15,23800,Available
NXS-B01,2,12,Shop,Retail,Retail,400,520,15,23800,Available
NXS-B01,2,13,Shop,Retail,Retail,400,520,15,23800,Available
NXS-B01,2,14,Shop,F&B,F&B,800,1040,25,23800,Available
NXS-B01,2,15,Shop,Anchor,Anchor,2500,3250,60,23800,Available
NXS-B01,2,16,Shop,Retail,Retail,400,520,15,23800,Available
NXS-B01,2,17,Shop,Retail,Retail,400,520,15,23800,Available
NXS-B01,2,18,Shop,Retail,Retail,400,520,15,23800,Available
NXS-B01,2,19,Shop,F&B,F&B,800,1040,25,23800,Blocked
NXS-B01,2,20,Shop,Anchor,Anchor,3500,4550,60,23800,Available
NXS-B01,3,1,Shop,Retail,Retail,400,520,15,21000,Booked
NXS-B01,3,2,Shop,Retail,Retail,400,520,15,21000,Available
NXS-B01,3,3,Shop,Retail,Retail,400,520,15,21000,Available
NXS-B01,3,4,Shop,F&B,F&B,800,1040,25,21000,Available
NXS-B01,3,5,Shop,Anchor,Anchor,3500,4550,60,21000,Available
NXS-B01,3,6,Shop,Retail,Retail,400,520,15,21000,Available
NXS-B01,3,7,Shop,Retail,Retail,400,520,15,21000,Available
NXS-B01,3,8,Shop,Retail,Retail,400,520,15,21000,Available
NXS-B01,3,9,Shop,F&B,F&B,800,1040,25,21000,Available
NXS-B01,3,10,Shop,Anchor,Anchor,3000,3900,60,21000,Available
NXS-B01,3,11,Shop,Retail,Retail,400,520,15,21000,Booked
NXS-B01,3,12,Shop,Retail,Retail,400,520,15,21000,Available
NXS-B01,3,13,Shop,Retail,Retail,400,520,15,21000,Available
NXS-B01,3,14,Shop,F&B,F&B,800,1040,25,21000,Available
NXS-B01,3,15,Shop,Anchor,Anchor,2500,3250,60,21000,Blocked
NXS-B01,3,16,Shop,Retail,Retail,400,520,15,21000,Available
NXS-B01,3,17,Shop,Retail,Retail,400,520,15,21000,Booked
NXS-B01,3,18,Shop,Retail,Retail,400,520,15,21000,Available
NXS-B01,3,19,Shop,F&B,F&B,800,1040,25,21000,Available
NXS-B01,3,20,Shop,Anchor,Anchor,3500,4550,60,21000,Available
NXS-B02,1,1,Shop,Retail,Retail,400,520,15,28000,Available
NXS-B02,1,2,Shop,Retail,Retail,400,520,15,28000,Available
NXS-B02,1,3,Shop,Retail,Retail,400,520,15,28000,Booked
NXS-B02,1,4,Shop,F&B,F&B,800,1040,25,28000,Booked
NXS-B02,1,5,Shop,Anchor,Anchor,3500,4550,60,28000,Available
NXS-B02,1,6,Shop,Retail,Retail,400,520,15,28000,Available
NXS-B02,1,7,Shop,Retail,Retail,400,520,15,28000,Available
NXS-B02,1,8,Shop,Retail,Retail,400,520,15,28000,Available
NXS-B02,1,9,Shop,F&B,F&B,800,1040,25,28000,Booked
NXS-B02,1,10,Shop,Anchor,Anchor,3000,3900,60,28000,Available
NXS-B02,1,11,Shop,Retail,Retail,400,520,15,28000,Available
NXS-B02,1,12,Shop,Retail,Retail,400,520,15,28000,Booked
NXS-B02,1,13,Shop,Retail,Retail,400,520,15,28000,Available
NXS-B02,1,14,Shop,F&B,F&B,800,1040,25,28000,Available
NXS-B02,1,15,Shop,Anchor,Anchor,2500,3250,60,28000,Available
NXS-B02,1,16,Shop,Retail,Retail,400,520,15,28000,Available
NXS-B02,1,17,Shop,Retail,Retail,400,520,15,28000,Booked
NXS-B02,1,18,Shop,Retail,Retail,400,520,15,28000,Available
NXS-B02,1,19,Shop,F&B,F&B,800,1040,25,28000,Available
NXS-B02,1,20,Shop,Anchor,Anchor,3500,4550,60,28000,Available
NXS-B02,2,1,Shop,Retail,Retail,400,520,15,23800,Booked
NXS-B02,2,2,Shop,Retail,Retail,400,520,15,23800,Available
NXS-B02,2,3,Shop,Retail,Retail,400,520,15,23800,Booked
NXS-B02,2,4,Shop,F&B,F&B,800,1040,25,23800,Available
NXS-B02,2,5,Shop,Anchor,Anchor,3500,4550,60,23800,Available
NXS-B02,2,6,Shop,Retail,Retail,400,520,15,23800,Booked
NXS-B02,2,7,Shop,Retail,Retail,400,520,15,23800,Available
NXS-B02,2,8,Shop,Retail,Retail,400,520,15,23800,Available
NXS-B02,2,9,Shop,F&B,F&B,800,1040,25,23800,Available
NXS-B02,2,10,Shop,Anchor,Anchor,3000,3900,60,23800,Blocked
NXS-B02,2,11,Shop,Retail,Retail,400,520,15,23800,Available
NXS-B02,2,12,Shop,Retail,Retail,400,520,15,23800,Available
NXS-B02,2,13,Shop,Retail,Retail,400,520,15,23800,Available
NXS-B02,2,14,Shop,F&B,F&B,800,1040,25,23800,Blocked
NXS-B02,2,15,Shop,Anchor,Anchor,2500,3250,60,23800,Available
NXS-B02,2,16,Shop,Retail,Retail,400,520,15,23800,Available
NXS-B02,2,17,Shop,Retail,Retail,400,520,15,23800,Available
NXS-B02,2,18,Shop,Retail,Retail,400,520,15,23800,Available
NXS-B02,2,19,Shop,F&B,F&B,800,1040,25,23800,Available
NXS-B02,2,20,Shop,Anchor,Anchor,3500,4550,60,23800,Available
NXS-B02,3,1,Shop,Retail,Retail,400,520,15,21000,Available
NXS-B02,3,2,Shop,Retail,Retail,400,520,15,21000,Booked
NXS-B02,3,3,Shop,Retail,Retail,400,520,15,21000,Available
NXS-B02,3,4,Shop,F&B,F&B,800,1040,25,21000,Booked
NXS-B02,3,5,Shop,Anchor,Anchor,3500,4550,60,21000,Booked
NXS-B02,3,6,Shop,Retail,Retail,400,520,15,21000,Blocked
NXS-B02,3,7,Shop,Retail,Retail,400,520,15,21000,Available
NXS-B02,3,8,Shop,Retail,Retail,400,520,15,21000,Available
NXS-B02,3,9,Shop,F&B,F&B,800,1040,25,21000,Booked
NXS-B02,3,10,Shop,Anchor,Anchor,3000,3900,60,21000,Available
NXS-B02,3,11,Shop,Retail,Retail,400,520,15,21000,Available
NXS-B02,3,12,Shop,Retail,Retail,400,520,15,21000,Available
NXS-B02,3,13,Shop,Retail,Retail,400,520,15,21000,Available
NXS-B02,3,14,Shop,F&B,F&B,800,1040,25,21000,Available
NXS-B02,3,15,Shop,Anchor,Anchor,2500,3250,60,21000,Available
NXS-B02,3,16,Shop,Retail,Retail,400,520,15,21000,Available
NXS-B02,3,17,Shop,Retail,Retail,400,520,15,21000,Available
NXS-B02,3,18,Shop,Retail,Retail,400,520,15,21000,Booked
NXS-B02,3,19,Shop,F&B,F&B,800,1040,25,21000,Booked
NXS-B02,3,20,Shop,Anchor,Anchor,3500,4550,60,21000,Available
